Freq,S11_o_mod_v,S11_o_pha_v,S11_s_mod_v,S11_s_pha_v,S11_m_mod_v,S11_m_pha_v,S22_o_mod_v,S22_o_pha_v,S22_s_mod_v,S22_s_pha_v,S22_m_mod_v,S22_m_pha_v,S11_thru_mod_v,S11_thru_pha_v,S21_thru_mod_v,S21_thru_pha_v,S12_thru_mod_v,S12_thru_pha_v,S22_thru_mod_v,S22_thru_pha_v
539227424.749164,0.636950146627566,0.654545454545455,0.710850439882698,1.52903225806452,1.69618768328446,0.457478005865103,0.726686217008798,1.8,0.703812316715543,0.432844574780059,1.358357771261,0.879765395894428,1.28269794721408,0.100293255131965,0.695014662756598,1.13137829912023,0.679178885630499,1.4058651026393,1.52551319648094,1.66979472140762
546916387.959866,0.636950146627566,0.654545454545455,0.702052785923754,1.52023460410557,1.71026392961877,0.501466275659824,0.703812316715543,1.61348973607038,0.728445747800586,0.624633431085044,1.34956011730205,0.971260997067449,1.2316715542522,0.103812316715543,0.696774193548387,1.28445747800587,0.679178885630499,1.50087976539589,1.77536656891496,1.37947214076246
554605351.170569,0.672140762463343,0.705571847507331,0.689736070381232,1.50791788856305,1.73313782991202,0.540175953079179,0.679178885630499,1.37595307917889,0.746041055718475,0.797067448680352,1.34428152492669,1.07683284457478,1.18944281524927,0.0703812316715543,0.698533724340176,1.4375366568915,0.679178885630499,1.59765395894428,1.69970674486804,0.269208211143695
562294314.381271,0.687976539589443,0.721407624633431,0.675659824046921,1.48856304985337,1.74193548387097,0.547214076246334,0.652785923753666,1.09618768328446,0.758357771260997,0.957184750733138,1.34428152492669,1.1841642228739,1.15953079178886,0.193548387096774,0.702052785923754,1.58533724340176,0.680938416422287,1.69970674486804,1.47976539589443,0.21466275659824
569983277.591973,0.700293255131965,0.730205278592375,0.66158357771261,1.46392961876833,1.75073313782991,0.548973607038123,0.642228739002933,0.779472140762463,0.763636363636364,1.11202346041056,1.34604105571848,1.29677419354839,1.14193548387097,0.329032258064516,0.705571847507331,1.73841642228739,0.682697947214076,1.77712609970674,1.35483870967742,0.453958944281525
577672240.802676,0.709090909090909,0.73900293255132,0.64574780058651,1.43225806451613,1.7683284457478,0.563049853372434,0.651026392961877,0.455718475073314,0.760117302052786,1.26686217008798,1.35483870967742,1.41818181818182,1.13489736070381,0.468035190615836,0.709090909090909,1.8,0.686217008797654,1.76129032258065,1.2791788856305,0.668621700879765
585361204.013378,0.716129032258064,0.744281524926686,0.629912023460411,1.3900293255132,1.77712609970674,0.591202346041056,0.675659824046921,0.165395894428153,0.751319648093842,1.42873900293255,1.36891495601173,1.54310850439883,1.13489736070381,0.607038123167155,0.710850439882698,1.7683284457478,0.687976539589443,1.67683284457478,1.2316715542522,0.874486803519062
593050167.22408,0.721407624633431,0.751319648093842,0.6158357771261,1.33724340175953,1.79296187683284,0.658064516129032,0.705571847507331,0.0299120234604106,0.733724340175953,1.59589442815249,1.38826979472141,1.66099706744868,1.14193548387097,0.744281524926686,0.710850439882698,1.62404692082111,0.689736070381232,1.59061583577713,1.19824046920821,1.07859237536657
600739130.434783,0.726686217008798,0.756598240469208,0.603519061583578,1.27741935483871,1.77184750733138,0.679178885630499,0.731964809384164,0.202346041055718,0.710850439882698,1.78592375366569,1.41290322580645,1.77008797653959,1.15777126099707,0.883284457478006,0.709090909090909,1.48328445747801,0.687976539589443,1.50615835777126,1.17184750733138,1.28621700879765
608428093.645485,0.728445747800586,0.760117302052786,0.592961876832845,1.20879765395894,1.79120234604106,0.696774193548387,0.753079178885631,0.392375366568915,0.684457478005865,1.78064516129032,1.44281524926686,1.79824046920821,1.18240469208211,1.02756598240469,0.705571847507331,1.34076246334311,0.684457478005865,1.41994134897361,1.15601173020528,1.50615835777126
616117056.856187,0.728445747800586,0.765395894428152,0.589442815249267,1.13489736070381,1.78944281524927,0.693255131964809,0.765395894428152,0.564809384164223,0.684457478005865,1.78064516129032,1.48680351906158,1.71378299120235,1.21935483870968,1.1841642228739,0.700293255131965,1.19472140762463,0.67741935483871,1.3266862170088,1.14369501466276,1.74369501466276
623806020.06689,0.726686217008798,0.770674486803519,0.589442815249267,1.06099706744868,1.76480938416422,0.672140762463343,0.767155425219941,0.730205278592375,0.643988269794721,1.22111436950147,1.5466275659824,1.57653958944282,1.2791788856305,1.36715542521994,0.696774193548387,1.041642228739,0.670381231671554,1.22639296187683,1.13841642228739,1.78768328445748
631494983.277592,0.721407624633431,0.777712609970674,0.594721407624633,0.990615835777126,1.7841642228739,0.633431085043988,0.763636363636364,0.893841642228739,0.647507331378299,0.90791788856305,1.62932551319648,1.40410557184751,1.35131964809384,1.60645161290323,0.691495601173021,0.883284457478006,0.665102639296188,1.11730205278592,1.14193548387097,1.50791788856305
639183946.488294,0.716129032258064,0.788269794721408,0.605278592375367,0.925513196480938,1.77536656891496,0.610557184750733,0.753079178885631,1.06099706744868,0.668621700879765,0.614076246334311,1.7366568914956,1.14017595307918,1.5307917888563,1.56950146627566,0.689736070381232,0.72316715542522,0.66158357771261,1.00117302052786,1.14721407624633,1.20879765395894
646872909.698997,0.709090909090909,0.804105571847507,0.6158357771261,0.870967741935484,1.76304985337243,0.561290322580645,0.735483870967742,1.23695014662757,0.695014662756598,0.355425219941349,1.8,0.731964809384164,1.58005865102639,0.717888563049853,0.689736070381232,0.557771260997067,0.663343108504399,0.883284457478006,1.16129032258065,0.879765395894428
654561872.909699,0.702052785923754,0.821700879765396,0.628152492668622,0.823460410557185,1.75425219941349,0.533137829912024,0.712609970674487,1.43049853372434,0.721407624633431,0.12316715542522,1.77360703812317,0.478592375366569,1.5782991202346,0.717888563049853,0.689736070381232,0.557771260997067,0.666862170087977,0.772434017595308,1.17712609970674,0.531378299120235
662250836.120401,0.693255131964809,0.844574780058651,0.640469208211144,0.786510263929619,1.75777126099707,0.49266862170088,0.689736070381232,1.64868035190616,0.740762463343109,0.0281524926686217,1.66803519061584,0.587683284457478,1.5782991202346,0.336070381231672,0.695014662756598,0.241055718475073,0.673900293255132,0.666862170087977,1.1841642228739,0.190029325513196
